SceneFile,Label,MaxEnemies,Comment
natives/stm/scenes/chapter/chapter0.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter0/c00_cullingcollision.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter0/c00_loadcollistion.scn.20,,0,Non-environment controller/helper scene
natives/stm/environment/scene/chapter1/c01_2f.scn.20,Guest House / 2F / Stairs up / Safe Room,1,Safe or hub scene
natives/stm/environment/scene/chapter1/c01_3f.scn.20,Guest House / 3F / Mia 2,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1a.scn.20,Guest House / B / Ladder,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1b.scn.20,Guest House / B / Water Corridor 1,2,Connector or medium area
natives/stm/environment/scene/chapter1/c01_b1c.scn.20,Guest House / B / Water Corridor 2 / André's body,2,Connector or medium area
natives/stm/environment/scene/chapter1/c01_b1d.scn.20,Guest House / B / Water Exit / Missing people placards,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1e.scn.20,Guest House / B / Corridor,2,Connector or medium area
natives/stm/environment/scene/chapter1/c01_b1f.scn.20,Guest House / B / Mia Cell,2,Small room
natives/stm/environment/scene/chapter1/c01_b1g.scn.20,Guest House / B / Mia Follow 1,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1h.scn.20,Guest House / B / Mia Follow 2,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1i.scn.20,Guest House / B / Mia Follow 3 / Wall Break,5,Default playable area
natives/stm/environment/scene/chapter1/c01_b1j.scn.20,Guest House / B / Staircase,2,Connector or medium area
natives/stm/environment/scene/chapter1/c01_bathroom01.scn.20,Guest House / 1F / Bathroom,2,Small room
natives/stm/environment/scene/chapter1/c01_corridor01.scn.20,Guest House / 1F / Entrance Corridor,5,Connector or medium area
natives/stm/environment/scene/chapter1/c01_corridor02.scn.20,Guest House / 1F / Corridor at the back,5,Connector or medium area
natives/stm/environment/scene/chapter1/c01_corridor03.scn.20,Guest House / 1F / Corridor / Mia 1,5,Connector or medium area
natives/stm/environment/scene/chapter1/c01_kitchen01.scn.20,Guest House / 1F / Kitchen,2,Small room
natives/stm/environment/scene/chapter1/c01_living01.scn.20,Guest House / 1F / Living room,3,Small room
natives/stm/environment/scene/chapter1/c01_outside01.scn.20,Outside / Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside02.scn.20,Outside / Mia Mail,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside03.scn.20,Outside / Gate,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside04.scn.20,Outside / Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside05.scn.20,Outside / Sewer Gators Car,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside06.scn.20,Outside / Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside07.scn.20,Outside / Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside10.scn.20,Outside / Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outside11.scn.20,Outside / Before Guest House,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outsidea.scn.20,Outside / Guest House Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_outsideb.scn.20,Outside / Guest House Entrance Area,99,Large or combat-capable area
natives/stm/environment/scene/chapter1/c01_shadow01.scn.20,,0,Environment support scene
natives/stm/environment/scene/chapter1/c01_storeroom01.scn.20,Guest House / Store Room / Mia 1,1,Small room
natives/stm/environment/scene/chapter3/c03_boat1fboss01.scn.20,Boat House / 2F / Jack 3,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_boat1fbridge01.scn.20,Boat House / 1F / Bridges,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_boat1fbridge01low.scn.20,,0,Environment support scene
natives/stm/environment/scene/chapter3/c03_boat1fbridge02.scn.20,Boat House / 1F / Bridge / Serum Choice,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_boat1fentrance01.scn.20,Boat House / 1F / Entrance,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_boat2froom01.scn.20,Boat House / 2F / Mia and Zoe,5,Default playable area
natives/stm/environment/scene/chapter3/c03_boatoutside01.scn.20,Boat House / Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_cowhallway01.scn.20,Testing Area / 1F / Corridor,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_cowroom01.scn.20,Testing Area / 1F / Carcass Room,1,Small room
natives/stm/environment/scene/chapter3/c03_cowroom02.scn.20,Testing Area / 1F / Fertilizer Room,1,Small room
natives/stm/environment/scene/chapter3/c03_cowroom03.scn.20,Testing Area / 2F / Supply Room,1,Small room
natives/stm/environment/scene/chapter3/c03_cowroom05.scn.20,Testing Area / 3F / Clancy's burnt body,5,Default playable area
natives/stm/environment/scene/chapter3/c03_cowroom06.scn.20,Testing Area / 3F / Stairs down,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_cowshed01.scn.20,Testing Area / 1F / Barn / Fat Molded Fight,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_cowshedoutside01.scn.20,Testing Area / 1F / Barn / Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenarea1_low01.scn.20,,0,Environment support scene
natives/stm/environment/scene/chapter3/c03_gardenarea1_low02.scn.20,,0,Environment support scene
natives/stm/prefab/character/em2000/c01e00/pos_c01e00.scn.20,,0,Non-environment controller/helper scene
natives/stm/prefab/character/em6200/c01f01/pos_c01f01_em6200.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1/birdeyeviewmovie.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1/c01_cullingcollision.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1/c01_loadcollision.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1/mansionai_c01_3f.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter1/soft_c01.scn.20,,0,Non-environment controller/helper scene
