Enabled,Id,Comment,SceneFile,Chapter,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
FALSE,Em4100,Crawler - Debugging,natives/stm/environment/scene/chapter1/c01_outside02.scn.20,1,-49,5,108,0,0,0,1
FALSE,Em3001,Jack - Debugging,natives/stm/environment/scene/chapter1/c01_outside02.scn.20,1,-47.92,5,100.86,0,0,0,1
FALSE,Em4000,Molded - Debugging,natives/stm/environment/scene/chapter1/c01_outside02.scn.20,3,25,0,1,0,0,0,1
TRUE,random,Outside - In front of Guest House gate,natives/stm/environment/scene/chapter1/c01_outside05.scn.20,1,-11.59,6.33,87.41,0,0,0,1
TRUE,random,Outside - In front of Deer Body Effigy After Jack Mini Cutscene,natives/stm/environment/scene/chapter1/c01_outside10.scn.20,1,-34.16,3.18,7.18,0,0,0,1
TRUE,random,Guest House - In front of Fuse Closet ,natives/stm/environment/scene/chapter1/c01_corridor01.scn.20,1,18.87,0,19.33,0,0,0,1
TRUE,random,"Guest House - Little Room under Stairs, Mia Hand Cutoff Jumpscare",natives/stm/environment/scene/chapter1/c01_corridor02.scn.20,1,5.67,0,10.31,0,0,0,1
TRUE,Em4100,Guest House - Water Corridor - Crawler,natives/stm/environment/scene/chapter1/c01_b1c.scn.20,1,25.84,-8.65,25.37,0,0,0,1
TRUE,random,Guest House - In front of Mia's Cell,natives/stm/environment/scene/chapter1/c01_b1f.scn.20,1,11.72,-6.8,8.81,0,0,0,1
TRUE,random,Guest House - Corridor Mia 1,natives/stm/environment/scene/chapter1/c01_corridor03.scn.20,1,-13.19,0,0.09,0,0,0,1
TRUE,random,Guest House - Attic - Loot Room,natives/stm/environment/scene/chapter1/c01_3f.scn.20,1,10.71,6.5,7.97,0,0,0,1
TRUE,random,Guest House - Attic - Middle,natives/stm/environment/scene/chapter1/c01_3f.scn.20,1,13.55,6.5,15.55,0,0,0,1
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
FALSE,,,,,,,,,,,
