IsExtra,Tags,Comment,Id,Enabled,StackNum,EasyNum,HardNum,Difficulty,Chapter,Guid,SaveGuid,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,GameObjectName,SceneFile,Mesh,Material,Dlc
TRUE,crate not_fake,Salt Mine Exit,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,-67.628,-15.406,-107.545,,,,,,natives/stm/environment/scene/chapter4/c04_caveev03.scn.20,,,
TRUE,crate fake,Salt Mine Fat Moldeds,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,-53.545,-23.268,-125.87,,,,,,natives/stm/environment/scene/chapter4/c04_cavemine.scn.20,,,
TRUE,random,Salt Mine Serum Area,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,-24.722,-40.278,-185.371,,,,,,natives/stm/environment/scene/chapter4/c04_cavepassage05.scn.20,,,
TRUE,crate,Salt Mine Mine Car Tunnel,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2.662,-43.341,-161.39,,,,,,natives/stm/environment/scene/chapter4/c04_cavepassage03.scn.20,,,
TRUE,random,Salt Mine North Cavern,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,-9.659,-44.538,-206.902,,,,,,natives/stm/environment/scene/chapter4/c04_cave03.scn.20,,,
TRUE,random,Swamp Cottage,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,49.638,1.631,-41.325,,,,,,natives/stm/environment/scene/chapter4/c04_cottage.scn.20,,,
TRUE,,Wrecked Ship Exit,RemedyL,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,60.128,8.642,5.51,,,,,,natives/stm/environment/scene/chapter4/c04_shipb2storage02.scn.20,,,
TRUE,random,Captain's Cabin,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,61.494,35.892,23.791,,,,,,natives/stm/environment/scene/chapter4/c04_ship4fcabina.scn.20,,,
TRUE,crate,Wrecked Ship 4F Bridge,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,64.771,34.894,33.329,,,,,,natives/stm/environment/scene/chapter4/c04_ship4fbridge.scn.20,,,
TRUE,crate,Ship Engine Room No 2,,TRUE,1,1,1,,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,71.765,7.919,-14.637,,,,,,natives/stm/environment/scene/chapter4/c04_shipb2engineroom01past.scn.20,,,
