Campaign,Guid,Chapter,Description,Stage,X,Y,Z,Pitch,Yaw,Roll,Condition,SkipCondition,MiniBoss,Events,Tags,Include,Exclude
Ethan,36e28438-0a9c-475c-8a31-c8c4d905e925,1,police   * // Forget your makeup?,40500,0,0,0,0,0,0,,,,,preserve noduplicate nowave,,
Ethan,ccd9520b-2fd0-44e7-9b14-24491bce2367,1,villager   *,40510,0,0,0,0,0,0,,,,,,,boss colmillos
Ethan,52061032-d686-401c-b1b7-ebdcd629e8ea,1,villager   * // First Desnucado,40510,0,0,0,0,0,0,,,,,,,boss* colmillos*
Ethan,bacf6775-91ec-4932-85ed-db488c2a35ee,1,villager   *,40510,0,0,0,0,0,0,,,,,,,boss colmillos
Ethan,afc35303-7d98-4615-ad30-ac0c99e2e709,1,villager  hatchet * // Patrol Ganados after Basement,40510,0,0,0,0,0,0,,,,,,,boss* colmillos*
Ethan,7627dd62-89c8-4964-ac6e-0df675e2ad10,1,villager  hatchet *,40504,0,0,0,0,0,0,,,,,,,boss colmillos
Ethan,ed0cf043-e107-480c-a3c1-58877a84f22f,1,villager  hoe * // LEDGE REINFORCEMENT,40504,0,0,0,0,0,0,,,,,,climber*,
Ethan,444f5d9b-4b54-4c44-8d66-2557f501407a,1,villager  pitchfork *,40504,0,0,0,0,0,0,,,,,,,boss
Ethan,4ab9f0a3-891e-441e-a1d6-3de1028fda1a,1,villager  hatchet *,40505,0,0,0,0,0,0,,,,,,,boss
Ethan,07d41ff3-1ec6-d325-466c-6fd249922e51,1,[EXTRA] OPENER // Flank Right of Sign,40501,-255,6,50,0,0,0,,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,,,,,boss*
Ethan,caa655c1-7de3-82e4-45cc-94769362c824,1,[EXTRA] OPENER // Behind Wire Fence,40501,-240,6,54,0,0,0,,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,,,,,boss*
Ethan,,1,[EXTRA] HUNTERS CABIN PORCH (AFTER GO INTO HOUSE),40502,-192,10,91,0,-90,0,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,b3bee246-d762-4244-bdb8-c7db24764ae8,,,,,boss
Ethan,,1,[EXTRA] HUNTERS CABIN PORCH (AFTER GO INTO HOUSE),40502,-209,9,79,0,-60,0,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,b3bee246-d762-4244-bdb8-c7db24764ae8,,,,,boss
Ethan,f2802869-58b2-4e5c-9b11-a72604ff5be3,1,[EXTRA] HUNTERS CABIN // Ambusher Before First cutscene,40501,-176,10,75,0,48,0,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,b3bee246-d762-4244-bdb8-c7db24764ae8,,,,,boss
Ethan,61523dde-7cf4-46f1-abaa-1a6e4f55b2d1,1,[EXTRA] HUNTERS CABIN // Guest Room ,40501,-185,10,76,0,83,0,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,b3bee246-d762-4244-bdb8-c7db24764ae8,,,,,boss
Ethan,f774819f-49fc-4e13-995f-d22ac50d15c0,1,[EXTRA] HUNTERS CABIN // Dining Room,40510,-183,10,80,0,0,0,b3bee246-d762-4244-bdb8-c7db24764ae8,ed3e9aac-6ad2-4eb4-a714-a96808ca8bdc,,,,,boss
Ethan,,1,[EXTRA] HUNTERS CABIN // Basement stairs,40510,-174,10,77,0,-177,0,8d40f8b4-b56d-4588-b71a-5a5e1c40d20d,,,,,,boss
