Campaign,Chapter,Guid,Description,Container,Stage,X,Y,Z,Pitch,Yaw,Roll,Tags,Include,Exclude,Events
Ethan,-1,,[EXTRA] First cabin / barrel outside porch,,40502,-199.4,10.2,79.5,0,0,0,chapteronly,,,hunting.multi|porch
Ethan,1,,[EXTRA] First cabin / porch,,40502,-197.3,10.1,81,0,0,0,chapteronly,,,
Ethan,1,,[EXTRA] First cabin / first room / bed,,40510,-185.2,10.7,74,0,0,0,chapteronly,,,
Ethan,1,22f519ca-c70b-4dca-9516-a10d7789a2cd,Green Herb x1,,40200,0,0,0,0,0,0,chapteronly,,,
Ethan,2,a9dfcf94-947d-47c1-8d1c-7c11846fac86,Crystal Marble x1,,44110,0,0,0,0,0,0,chapteronly preserve,,,
Ethan,4,3902f4d3-d654-47fb-bbf7-f100d0d64072,Rhinoceros Beetle x1,,43400,0,0,0,0,0,0,chapteronly,,,
Ethan,4,16b44412-e6b9-489c-a52a-7788dbae12f7,Yellow Diamond x1,boss,45302,0,0,0,0,0,0,chapteronly,,treasure weapon,
Ethan,4,7d29d887-3201-4fdf-95db-c9a4099da28c,Handgun Ammo x20,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,4b61ee39-d1a8-4a13-a14a-b5222d7f7adc,Resources (Small) x1,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,a4c8e683-40fb-460c-a418-724c9fa70d47,Handgun Ammo x25,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,460e2007-6fcd-4cff-8e04-e7e7f11f60d2,Gunpowder x5,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,287b2e0e-4368-4cce-84f8-355c1efba5e8,Kitchen Knife x1,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,bf08c52a-f21a-422c-9605-ec7f5dbe7478,Green Herb x1,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,4,e6c34215-4d8b-4007-b839-bdcc2c584a9a,Red Herb x1,,45302,0,0,0,0,0,0,chapteronly,,,
Ethan,5,087a7c59-f83e-4a09-b151-52b92d52af78,Hand Grenade x1,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,a927f63c-0f06-482e-831a-2bc737ffe500,Handgun Ammo x20,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,34f63a78-5c07-4466-a8ba-809bc182e2af,Gunpowder x10,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,2efd5e29-afb3-41d7-bf59-9c6e40f633d9,Kitchen Knife x1,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,b1f8daca-2a8b-49b0-8868-660193416dcc,Resource (Large) x1,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,186dd826-1b3b-4866-96ac-3f91833ae616,Green Herb x1,,43311,0,0,0,0,0,0,chapteronly,,,
Ethan,5,6f3a41b4-e854-4b31-b36f-5e432a0b8235,Wooden Planks x1,,43311,0,0,0,0,0,0,chapteronly preserve,,,
Ethan,1,7a166d5b-c9d6-4ca0-8292-5ac2c3ea825b,Green Herb x1,,40510,0,0,0,0,0,0,,,,
Ethan,1,d6876afa-1b5b-4444-a674-c4fa3b420db4,Hunter's Lodge Key x1,,40510,0,0,0,0,0,0,preserve,,,
Ethan,1,b0db3874-bb80-4810-ab80-18678be89fe4,Handgun Ammo x12,,40504,0,0,0,0,0,0,,,,
Ethan,1,2f044378-b144-44b5-ab96-2bc529adf8aa,Pesetas x200,,40504,0,0,0,0,0,0,,,,
Ethan,1,c0fd9f8a-6899-484d-802f-b6f78300e08c,Gunpowder x2,,40530,0,0,0,0,0,0,,,,
Ethan,1,7dd282d8-8a8b-49ea-8969-975599eeb399,Handgun Ammo x8,,40504,0,0,0,0,0,0,,,,
Ethan,1,10e4873d-d319-40df-8f53-484969787c72,Pesetas x150,,40504,0,0,0,0,0,0,,,,
Ethan,1,dc2e049e-ab84-4d44-8724-056e815a3569,Red Herb x1,,40505,0,0,0,0,0,0,,,,
Ethan,1,c4c3821f-8611-47c2-b2f7-a60ed3410e13,Handgun Ammo x7,,40505,0,0,0,0,0,0,,,,
Ethan,1,1318f050-6c44-43ff-acb9-36bb6478a78f,Flash Grenade x1,,40505,0,0,0,0,0,0,,,,
Ethan,1,5669e67a-8d34-4a8c-944d-472e9345a6d3,Shotgun Shells x3,,40210,0,0,0,0,0,0,,,,
Ethan,1,cb8b64ce-38b1-40f2-8276-c5e815782a85,Green Herb x1,,40200,0,0,0,0,0,0,,,,
Ethan,5,91f26b7e-c9f2-4645-acb1-8240d7de2947,Vintage Compass x1,smallkey,40210,0,0,0,0,0,0,,treasure weapon,,
Ethan,1,3d1da35b-c5ca-4056-8946-50cf81ca487a,Handgun Ammo x10,,40200,0,0,0,0,0,0,,,,
