Name1,Name2,English
CH_Mes_Main_Sys_MainMenu_OnlineStore_Requiem_JP,CH_Mes_Main_Sys_MainMenu_OnlineStore_Requiem_NJP,REQUIEM... WILL IT BE GOOD?
,,BIORAND FOR REQUIEM COMMON SOON
CH_Mes_Main_Sys_PC_MainMenu_Exit,,COME BACK ANY TIME
,,"DON'T GET YOURSELF KILLED NOW, HAHA"
CH_Mes_Main_Sys_MainMenu_Play,,BIORAND
,,
AO_Mes_Main_Sys_Common_Title_0,,BIORAND
AO_Mes_Main_Sys_MainMenu_GameTitle,,BIORAND
CH_Mes_Main_Sys_Common_GameMode_01,AO_Mes_Main_Sys_Common_GameMode_01,EZ
CH_Mes_Main_Sys_Common_GameMode_02,AO_Mes_Main_Sys_Common_GameMode_02,RE4 OG MODE
CH_Mes_Main_Sys_Common_GameMode_03,AO_Mes_Main_Sys_Common_GameMode_03,NOT EZ
CH_Mes_Main_Sys_Common_GameMode_04,AO_Mes_Main_Sys_Common_GameMode_04,7rayD MODE
CH_Mes_Main_Sys_Common_GameMode_04,,Ethan MUST DIE
,AO_Mes_Main_Sys_Common_GameMode_04,Mia MUST DIE
Dev1_Term_GameOver_Title,,1998
,,BLAME ORCA
,,GIT GUD
,,UNINSTALL GAME
