name,,Lucky Number 7,M6C magnum,Dragonstail (SW),Gold 007,Dragonstail,Auto-9,Golden Gun(SW),Punisher,Punisher MC (SW),XM96E1,Line Gun,Dragonsbreath,Elephantgun,Super Shotgun,Sawed-off W870,Spitfire,Spitfire (SW),Le Cinq,The Merchant Special,Chicago Sweeper (SW),Dragonlore,SR M1093 (SW),S7ingRayD,Stingray (SW),What Could Have Been...,Quickdraw Army,Dirty Harry,The .45 longslide with laser sighting,Flamethrower
type,,legendary,legendary,legendary,legendary,legendary,legendary,legendary,,,additional,legendary,legendary,legendary,legendary,additional,legendary,,legendary,,,,,,,,,,,base
gamemode,,,,,,,,,,,Ethan,chainsaw,,,,Ethan,,,,,,,,,,,,,,
weight,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,
description,,"Feeling Lucky? Do you love to Gamble? 
This is your moment to Shine.",,,"Deadly signature weapon of the notorious assassin.
With Enough Investment you can modify the gun to 
hold enough ammo for 5 shots.",,"Gun of the Cybernetically enhanced officer 
of the Detroit Police Department.
""Dead or alive you're coming with me""","Deadly signature weapon of the notorious assassin.
With Enough Investment you can modify the gun to 
hold enough ammo for 5 shots.",,,,"Mining tool used in Space.
Great at clearing out large 
crowds of Necromor... Ganados.",A Pyrotechnic shotgun with fiery blast,"Developed for use by big-game hunters
for Verdugos and other Similiar targets.",Ancient Relic of the Doom Slayer. Rip and tear until it is done.,,,,"Omelette du fromage.

Shoots Baguettes.

Changes the whole games soundtrack to Expedition 33

","Shoots Modified Peseta, low damage, add infinite purchase to merchant for peseta etc..",,,,Everything is 7.,,"Cqbr using pistol ammo, slightly higher damage and pen then pistols, Fire rate exclusive makes it go brrrr","Uses Pistol ammo, very good headshot multiplier, insane fire rate","Bigger shot, breaks like Heavy nade, ","Make it use Rifle ammo, slightly more damage than rifle but no headshot 3X multiplier laser sighting gives high crit. 4/5 ammo in clip and 10 ammo with exclusive","Uses pressurized gas to produce intense flames.
Just like that night in the jungle..."
perk,,"- 50/50 Chance of Each Shot Stunning
Or Dealing Damage",,"- Gun modified to set enemies on fire.
- High Critical Hit Chance, 
But Less Damage than Normal","- Single shot Golden Gun. 
- Uses 2 bullets per shot.",- Gun modified to set enemies on fire.,"- High Rate of Fire Pistol using SMG Ammunition
- Capable of Full Automatic Fire with Stock","-Single shot Golden Gun. 
-Uses 2 bullets per shot.",,,,Shoots Pellets in Horizontal Line,Shots cause enemies set aflame,Shoots Slug Rounds With Destructive Power,Uses 2 Shells Per Shot,,- Gun modified to set enemies on fire.,,,,,Shots cause enemies set aflame,,,,,,,,perk
exclusive description,1,Gamble Your Shots 7 Times Faster,,Increased chance to ignite foes,Learn how to Insert 5 Bullets into the magazine,Increased chance to ignite foes,Enchance your rounds with more stopping power,Learn how to Insert 5 Bullets into the magazine,,,Damage X 1.75,Power output tweaks increasing overall damage.,"Double the Shells, More Carnage.",Stop even the mightiest elephant.,,,,,Hard Boiled Eggs,,,,,Spend 777 Peseta for the Clowns blessing. Your balls will be 7 times bigger. (Functionally useless),,,,,,
exclusive perk,1,Rate Of Fire 7x,,Critical Hit Rate 2x,Ammo Capacity 5x,Critical Hit Rate 2x,Stopping Power 3x,Ammo Capacity 5x,,,,Damage 1.5X,,,,,,,,,,,,,,,,,,
exclusive description,2,,,,,,Find Weakpoints of targets Easier,,,,,Infinite penetration.,,,,,,,,,,,,,,,,,,
exclusive perk,2,,,,,,Critical Hit Rate 3x,,,,,,,,,,,,,,,,,,,,,,,
id,,4000,,6103,4002,4003,4004,6113,,,6300,4101,4102,4100,6001,6100,4200,6104,4202,4201,,4400,,4401,,4402,4500,4502,4501,4701
