,,,SG-09 R,Sentinel Nine,Blacktail AC (SW),Red9,Blacktail,Matilda,red9 (SW),Punisher,Punisher MC (SW),XM96E1,Riot Gun,Striker,W-870,Skull Shaker,Sawed-off W870 (SW),TMP,TMP (SW),LE5,Chicago Sweeper,Chicago Sweeper (SW),SR M1093,SR M1093 (SW),Stingray,Stingray (SW),CQBR Assault,Broken Butterfly,Handcannon,Killer7,Combat Knife,Fighting Knife,Tactical Knife (SW),Primal Knife,Elite Knife (SW),Bolt Thrower,Blast Crossbow (SW),Flamethrower
id,,,4000,6000,6103,4002,4003,4004,6113,4001,6112,6300,4101,4102,4100,6001,6100,4200,6104,4202,4201,6101,4400,6114,4401,6105,4402,4500,4502,4501,5000,5001,6107,5006,6108,4600,6102,4701
itemid,,,274835456,278035456,278200256,274838656,274840256,274841856,278216256,274837056,278214656,278515456,274997056,274998656,274995456,278037056,278195456,275155456,278201856,275158656,275157056,278197056,275475456,278217856,275477056,278203456,275478656,275635456,275638656,275637056,276435456,276437056,278206656,276445056,278208256,275795456,278198656,275957056
price,,min,5000,5000,5000,7500,7500,7500,7500,6500,6500,5000,11000,10000,10000,10000,10000,9000,9000,11500,7500,7500,9000,9000,10000,10000,10000,15000,15000,20000,7500,7500,7500,7500,7500,9000,10000,30000
price,,max,20000,20000,20000,30000,30000,30000,30000,26000,26000,20000,44000,40000,40000,40000,40000,36000,36000,46000,30000,30000,36000,36000,40000,40000,40000,60000,60000,60000,30000,30000,30000,30000,30000,36000,40000,30000
base power,,,1.00,1.10,1.00,1.50,1.40,1.30,1.50,0.90,0.90,1.00,6.40,9.00,5.60,5.40,6.00,0.50,0.50,0.80,0.40,0.40,2.50,2.50,3.30,3.30,2.00,15.00,12.00,20.00,0.60,1.00,0.60,0.80,0.55,1.20,13.00,0.50
damage,level 1,worst rng,0.90,0.88,0.90,1.13,1.12,1.04,1.13,0.90,0.90,0.90,5.12,7.20,5.04,4.86,4.80,0.45,0.45,0.64,0.40,0.40,2.25,2.25,2.64,2.64,1.80,12.00,18.00,14.00,0.60,0.80,0.60,0.72,0.55,1.20,13.00,0.45
damage,level 5,worst rng,1.80,1.76,1.80,1.95,1.82,1.76,1.95,1.80,1.80,1.80,10.24,13.50,10.08,10.26,10.20,1.00,1.00,1.00,1.00,1.00,5.00,5.00,4.95,4.95,4.00,22.50,30.00,25.00,1.20,1.50,0.90,1.20,0.83,2.40,19.50,0.90
damage,level 5,best rng,3.50,3.63,3.50,3.60,3.22,2.99,3.60,3.15,3.15,3.50,17.60,24.75,20.16,21.60,19.50,1.88,1.88,1.80,1.88,1.80,8.75,8.75,8.25,8.25,7.00,41.25,48.00,40.00,2.40,2.75,1.80,2.40,1.65,4.20,26.00,1.10
damage,level 5,best rng (ex),7.38,6.86,7.38,6.53,6.27,5.82,6.53,7.56,7.56,7.38,35.84,50.40,42.84,46.66,40.80,4.05,4.05,3.46,4.40,4.40,19.13,19.13,15.84,15.84,15.30,0.00,0.00,0.00,6.00,6.40,4.80,5.76,4.40,10.20,78.00,2.52
damage,level 1,min,0.90,0.80,0.90,0.75,0.80,0.80,0.75,1.00,1.00,0.90,0.80,0.80,0.90,0.90,0.80,0.90,0.90,0.80,1.00,1.00,0.90,0.90,0.80,0.80,0.90,0.80,1.50,0.70,1.00,0.80,1.00,0.90,1.00,1.00,1.00,0.90
